nama_jajanan,kalori,karbohidrat,gula,protein,lemak,GI,GL
ampyang,380,68.0,45.0,8.0,10.0,55,37.4
arem-arem,150,28.0,1.0,4.0,2.5,60,16.8
arum manis,390,75.0,60.0,2.0,8.0,70,52.5
bakpao,220,38.0,8.0,6.5,5.0,65,24.7
bakwan,175,20.0,1.5,5.0,8.0,55,11.0
biji salak,160,35.0,18.0,1.5,1.5,65,22.8
bika ambon,300,52.0,28.0,5.0,8.0,68,35.4
bolen,310,35.0,12.0,5.5,17.0,60,21.0
bolu gulung,290,48.0,25.0,6.0,8.0,65,31.2
bolu karamel,300,50.0,28.0,5.5,9.0,65,32.5
bolu kukus,270,45.0,22.0,5.0,7.5,63,28.4
brem,355,82.0,55.0,1.5,0.5,75,61.5
bubur mutiara,130,30.0,15.0,1.0,1.0,60,18.0
bubur sumsum,140,28.0,10.0,2.0,2.5,65,18.2
cenil,145,33.0,15.0,0.5,0.5,65,21.5
cilok,160,22.0,1.0,7.0,5.0,52,11.4
cimol,175,25.0,1.0,3.0,7.0,55,13.8
cireng,200,30.0,1.0,2.5,8.0,58,17.4
combro,165,22.0,2.0,3.5,7.5,55,12.1
dadar gulung,180,28.0,12.0,4.0,5.5,62,17.4
dodol,360,78.0,55.0,2.5,5.0,78,60.8
donat,340,48.0,18.0,5.5,14.0,70,33.6
gathot,130,29.0,5.0,2.0,0.5,50,14.5
geplak,370,72.0,55.0,3.0,8.0,72,51.8
getas,320,55.0,20.0,4.0,9.0,65,35.8
gethuk pisang,140,32.0,18.0,1.5,0.5,62,19.8
getuk goreng,190,35.0,15.0,2.0,5.0,65,22.8
getuk lindri,145,32.0,16.0,1.5,1.0,62,19.8
kembang goyang,420,60.0,20.0,5.0,18.0,65,39.0
keripik pisang,380,55.0,25.0,2.5,18.0,55,30.3
keripik singkong,350,50.0,3.0,2.0,15.0,55,27.5
keripik tempe,380,35.0,3.0,18.0,20.0,45,15.8
keukarah,400,65.0,30.0,5.0,13.0,68,44.2
klepon,165,35.0,18.0,2.0,2.0,65,22.8
kroket,195,22.0,2.0,6.5,9.0,55,12.1
kue akar kelapa,430,58.0,25.0,6.0,20.0,65,37.7
kue ape,170,30.0,12.0,3.5,4.0,62,18.6
kue apem,185,35.0,15.0,3.5,3.0,65,22.8
kue balok,280,42.0,18.0,6.0,9.0,63,26.5
kue bangkit,400,70.0,35.0,4.0,12.0,68,47.6
kue bawang,450,55.0,5.0,7.0,22.0,60,33.0
kue bingka,250,42.0,22.0,4.0,7.0,65,27.3
kue carabikang,200,35.0,15.0,4.0,5.0,63,22.1
kue cubit,210,35.0,15.0,5.0,6.0,63,22.1
kue cucur,220,40.0,20.0,2.5,5.5,68,27.2
kue gemblong,280,48.0,25.0,2.0,8.0,68,32.6
kue jipang,370,72.0,40.0,5.0,6.0,72,51.8
kue kacang,420,55.0,25.0,10.0,18.0,55,30.3
kue kamir,240,40.0,18.0,5.5,6.5,63,25.2
kue klemben,380,62.0,30.0,5.0,12.0,65,40.3
kue lekker,230,35.0,12.0,5.5,7.5,62,21.7
kue lidah kucing,450,60.0,30.0,6.0,20.0,65,39.0
kue lumpang,165,35.0,18.0,2.0,1.5,65,22.8
kue lumpur,190,30.0,14.0,4.5,6.0,62,18.6
kue lupis,155,34.0,15.0,2.0,1.0,65,22.1
kue manco,380,68.0,35.0,5.0,9.0,68,46.2
kue mendut,175,30.0,14.0,3.5,4.5,62,18.6
kue mochi,185,38.0,18.0,2.5,2.5,65,24.7
kue padamaran,160,28.0,12.0,3.0,4.0,60,16.8
kue pancong,195,25.0,8.0,4.5,8.5,58,14.5
kue pastel,230,28.0,3.0,6.0,11.0,55,15.4
kue pasung,160,32.0,15.0,2.0,2.5,63,20.2
kue perut ayam,410,55.0,20.0,6.0,18.0,62,34.1
kue pudak,200,40.0,22.0,2.5,3.0,65,26.0
kue pukis,210,32.0,14.0,5.5,7.0,63,20.2
kue putri mandi,170,32.0,15.0,2.5,3.5,63,20.2
kue putu,150,32.0,14.0,2.0,1.5,60,19.2
kue putu ayu,165,30.0,14.0,3.0,3.5,62,18.6
kue rangi,170,30.0,12.0,3.5,4.0,60,18.0
kue sagon,420,65.0,30.0,5.0,15.0,65,42.3
kue semprong,430,62.0,28.0,6.0,18.0,65,40.3
kue sus,250,25.0,10.0,6.0,14.0,60,15.0
kue talam,155,28.0,12.0,3.0,3.5,60,16.8
kue thok,160,30.0,12.0,3.0,3.0,60,18.0
kue wajik,230,50.0,30.0,2.0,2.5,72,36.0
kue yangko,320,68.0,40.0,3.0,4.0,70,47.6
lapis beras,170,36.0,18.0,2.5,1.5,65,23.4
lapis legit,350,45.0,28.0,7.0,16.0,65,29.3
lemper,160,28.0,2.0,5.0,3.5,60,16.8
lumpia,200,25.0,3.0,7.0,8.0,55,13.8
madu mongso,300,65.0,45.0,3.0,3.0,72,46.8
martabak manis,310,50.0,25.0,7.0,9.0,68,34.0
nagasari,155,30.0,12.0,2.5,3.0,60,18.0
onde-onde,195,32.0,12.0,4.5,6.0,62,19.8
otak-otak,150,15.0,2.0,12.0,5.0,45,6.8
panada,240,30.0,4.0,8.0,10.0,58,17.4
pisang goreng,210,35.0,18.0,2.0,7.0,62,21.7
rempeyek,450,45.0,2.0,12.0,25.0,52,23.4
rengginang,360,72.0,5.0,6.0,5.0,72,51.8
risol,190,22.0,2.0,6.0,8.5,52,11.4
sale pisang,280,68.0,45.0,2.5,1.0,62,42.2
sawut,140,32.0,15.0,1.0,0.5,60,19.2
serabi,200,32.0,12.0,4.5,6.0,62,19.8
sosis solo,185,18.0,2.0,7.5,9.5,45,8.1
tahu isi,145,12.0,1.0,8.5,7.0,40,4.8
tape ketan,165,38.0,20.0,2.0,0.5,65,24.7
tape singkong,145,34.0,18.0,1.5,0.5,60,20.4
tempe mendoan,200,16.0,1.0,12.0,10.0,45,7.2
tiwul,120,28.0,3.0,1.5,0.5,55,15.4
wingko babat,280,45.0,25.0,3.5,9.0,68,30.6
